" Número de nacimientos"
"Datos de: Variable=Nacimientos (Total)"
"Variable",,"Nacimientos (Total)",
,,Valor,
Año,Provincia,Sum,
,"ZAMORA",        1049,

"2014","AVILA",        1243,
,"BURGOS",        2821,
,"LEON",        3038,
,"PALENCIA",        1180,
,"SALAMANCA",        2337,
,"SEGOVIA",        1280,
,"SORIA",         643,
,"VALLADOLID",        4312,
,"ZAMORA",        1032,

"2015","AVILA",        1107,
,"BURGOS",        2760,
,"LEON",        3026,
,"PALENCIA",        1162,
,"SALAMANCA",        2342,
,"SEGOVIA",        1197,
,"SORIA",         634,
,"VALLADOLID",        4192,
,"ZAMORA",         969,

"2016","AVILA",        1133,
,"BURGOS",        2658,
,"LEON",        2869,
,"PALENCIA",        1047,
,"SALAMANCA",        2238,
,"SEGOVIA",        1141,
,"SORIA",         626,
,"VALLADOLID",        4030,
,"ZAMORA",         933,











